SalePrice,OverallQual,GrLivArea,ExterQual,SimplOverallQual,KitchenQual,GarageCars,GarageArea,SimplExterQual,TotalBsmtSF,1stFlrSF
208500,7,1710,4,3,4,2,548,2,856,856
181500,6,1262,3,2,3,2,460,1,1262,1262
223500,7,1786,4,3,4,2,608,2,920,920
140000,7,1717,3,3,4,3,642,1,756,961
250000,8,2198,4,3,4,3,836,2,1145,1145
143000,5,1362,3,2,3,2,480,1,796,796
307000,8,1694,4,3,4,2,636,2,1686,1694
200000,7,2090,3,3,3,2,484,1,1107,1107
129900,7,1774,3,3,3,2,468,1,952,1022
118000,5,1077,3,2,3,1,205,1,991,1077
129500,5,1040,3,2,3,1,384,1,1040,1040
345000,9,2324,5,3,5,3,736,2,1175,1182
144000,5,912,3,2,3,1,352,1,912,912
279500,7,1494,4,3,4,3,840,2,1494,1494
157000,6,1253,3,2,3,1,352,1,1253,1253
132000,7,854,3,3,3,2,576,1,832,854
149000,6,1004,3,2,3,2,480,1,1004,1004
90000,4,1296,3,2,3,2,516,1,0,1296
159000,5,1114,3,2,4,2,576,1,1114,1114
139000,5,1339,3,2,3,1,294,1,1029,1339
325300,8,2376,4,3,4,3,853,2,1158,1158
139400,7,1108,3,3,4,1,280,1,637,1108
230000,8,1795,4,3,4,2,534,2,1777,1795
129900,5,1060,3,2,3,2,572,1,1040,1060
154000,5,1060,3,2,4,1,270,1,1060,1060
256300,8,1600,4,3,4,3,890,2,1566,1600
134800,5,900,3,2,4,2,576,1,900,900
306000,8,1704,4,3,4,3,772,2,1704,1704
207500,5,1600,3,2,3,1,319,1,1484,1600
68500,4,520,3,2,2,1,240,1,520,520
40000,4,1317,3,2,3,1,250,1,649,649
149350,5,1228,3,2,4,1,271,1,1228,1228
179900,8,1234,4,3,4,2,484,2,1234,1234
165500,5,1700,3,2,4,2,447,1,1398,1700
277500,9,1561,5,3,5,2,556,2,1561,1561
309000,8,2452,4,3,4,3,691,2,1117,1132
145000,5,1097,3,2,3,2,672,1,1097,1097
153000,5,1297,3,2,3,2,498,1,1297,1297
109000,5,1057,3,2,4,1,246,1,1057,1057
82000,4,1152,3,2,2,0,0,1,0,1152
160000,6,1324,3,2,3,2,440,1,1088,1324
170000,5,1328,3,2,3,1,308,1,1350,1328
144000,5,884,3,2,4,2,504,1,840,884
130250,5,938,3,2,3,1,308,1,938,938
141000,5,1150,3,2,3,1,300,1,1150,1150
319900,9,1752,5,3,5,2,576,2,1752,1752
239686,7,2149,4,3,4,2,670,2,1434,1518
249700,8,1656,4,3,4,3,826,2,1656,1656
113000,4,1452,3,2,3,0,0,1,736,736
127000,5,955,3,2,3,1,386,1,955,955
177000,6,1470,3,2,3,2,388,1,794,794
114500,6,1176,3,2,3,2,528,1,816,816
110000,5,816,2,2,3,2,516,1,816,816
385000,9,1842,4,3,4,3,894,2,1842,1842
130000,5,1360,3,2,3,2,572,1,384,1360
180500,6,1425,3,2,3,2,576,1,1425,1425
172500,8,1739,4,3,4,2,480,2,970,983
196500,7,1720,4,3,4,2,565,2,860,860
438780,10,2945,5,3,4,3,641,2,1410,1426
124900,5,780,3,2,3,1,352,1,780,780
158000,6,1158,3,2,4,2,576,1,1158,1158
101000,5,1111,3,2,2,1,288,1,530,581
202500,8,1370,4,3,4,2,484,2,1370,1370
140000,7,1710,3,3,3,2,480,1,576,902
219500,7,2034,3,3,4,2,645,1,1057,1057
317000,8,2473,4,3,4,3,852,2,1143,1143
180000,7,2207,3,3,3,2,576,1,1947,2207
226000,7,1479,4,3,4,2,558,2,1453,1479
80000,4,747,3,2,3,1,220,1,747,747
225000,7,2287,4,3,3,2,667,2,1304,1304
244000,7,2223,3,3,3,2,516,1,2223,2223
129500,4,845,3,2,3,2,360,1,845,845
185000,7,1718,3,3,3,2,427,1,832,885
144900,5,1086,3,2,3,2,490,1,1086,1086
107400,3,1605,4,1,3,1,379,2,840,840
91000,4,988,3,2,3,1,297,1,462,526
135750,4,952,3,2,3,1,283,1,952,952
127000,5,1285,3,2,3,1,240,1,672,1072
136500,4,1768,3,2,3,0,0,1,1768,1768
110000,5,1230,3,2,3,2,440,1,440,682
193500,6,2142,3,2,4,1,509,1,896,1182
153500,6,1337,3,2,3,2,405,1,1237,1337
245000,8,1563,3,3,4,3,758,1,1563,1563
126500,5,1065,3,2,3,2,461,1,1065,1065
168500,7,1474,3,3,3,2,400,1,384,804
260000,8,2417,4,3,4,2,462,2,1288,1301
174000,6,1560,4,2,4,2,400,2,684,684
164500,6,1224,4,2,4,2,528,2,612,612
85000,3,1526,2,1,2,0,0,1,1013,1013
123600,4,990,3,2,3,0,0,1,990,990
109900,4,1040,3,2,3,2,420,1,0,1040
98600,5,1235,3,2,3,2,480,1,1235,1235
163500,5,964,3,2,3,2,432,1,876,964
